Numero,D,Dif.,Depart de la randonnee,Parcours,C.V. *,Kl,➚m,Ref Openrunner,Dernier Prog,Lien
1,1,2,Blauvac,ND des neiges-La gacholle,2,11,270,0020072124,4/1/2024,0020072124
2,2,3,Caromb,Pkg salle des fetes -Caromb,2,13,370,0020097679,9/1/2024,0020097679
3,3,2,Malemort du comtat,Combe du diable,2,12,350,0020074752,11/1/2024,0020074752
4,4,2,Lagnes,tete du soldat mur de la peste,,9,270,0019576028,3/6/2021,0019576028
5,5,2,Malemort du comtat,croix de la gardy,2,"8,5",210,0019777093,30/12/1899,0019777093
6,6,2,Murs,3 termes Jas,"3,5",10,200,0019591661,30/12/1899,0019591661
7,7,2,Venasque,Pkg du chateau Autour de Venasque,2,11,270,0019591654,25/1/2024,0019591654
8,8,3,Crillon le brave,Crillon Pkg mairie -Combe obscure,2,8,330,0019591639,30/1/2024,0019591639
9,9,2,Velleron ,Autour de Piegros,3,9,180,0019591361,1/2/2024,0019591361
10,10,2,St Didier,sur les hauteurs de St Didier,2,9,230,0020141970,29/12/2022,0020141970
11,11,2,Mormoiron,Nd des anges,2,9,240,0020052401,8/2/2024,0020052401
12,12,3,Le Beaucet,La Nauque-Les Lts de Vaucluse (attention nbx chemins en balcon),"2,5","12,5",476,,13/2/2024,https://www.openrunner.com/r/
13,13,3,Saumane de vaucluse,Valescure la vigie,3,12,530,0019591249,30/12/1899,0019591249
14,14,2,Methamis,vaulongue col de murs,,10,280,0019591644,30/12/1899,0019591644
15,15,2,Bedoin,les demoiselles coiffees,2,11,280,0016011741,22/2/2024,0016011741
16,16,3,Fontaine de Vaucluse,Galas-aqueduc,"3,5",11,420,0019575069,27/2/2024,0019575069
17,17,2,Goult,les Beaumettes-Lumiere,"4,5",13,400,0012625757,29/2/2024,0012625757
18,18,3,Laudun l'Ardoise,Camp Cesar,6,12,276,0020076645,5/3/2024,0020076645
19,19,2,Malaucene,petite boucle des gippieres,"2,5",11,376,0018488587,7/3/2024,0018488587
20,20,3,St Didier,Mairie -Saint Didier,2,15,300,,12/3/2024,https://www.openrunner.com/r/
21,21,2,Goult,Mange Tian,"4,5",10,300,0019591611,14/3/2024,0019591611
22,22,3,Bedoin,abbaye de la Madeleine-le grand Barbeirol,"2,5",10,450,,19/3/2024,https://www.openrunner.com/r/
23,23,2,Villes sur Auzon,les charbonnieres,3,9,300,0019591295,21/3/2024,0019591295
24,24,3,Mazan,Les bories,2,10,280,0019575156,27/12/2022,0019575156
25,25,2,Vaison la Romaine,Vaison la romaine,4,10,230,0020038949,28/3/2024,0020038949
26,26,3,Chateauneuf du pape,autour de Chateauneuf,4,14,150,0017688153,2/4/2024,0017688153
27,27,2,Lafare,Rocher St Christophe-Dentelles,"3,5",9,364,0020038640,4/4/2024,0020038640
28,28,2,Malemort du comtat,St Felix,2,9,300,0020052489,22/12/2022,0020052489
29,29,2,Buoux,Aigue brun baume de l'eau Sivergues,6,12,311,0020147861,11/4/2024,0020147861
30,30,2,Flassan,St Esteve Ventoux combe Canaud,3,10,360,0019591627,16/4/2024,0019591627
31,31,2,Entrechaux,circuit des Chapelles,"3,5",10,180,0015537841,18/4/2024,0015537841
32,32,3,Robion,Les Taillades Gorges de Badarel rochers de Baude,"4,5",11,518,0009801271,23/4/2024,0009801271
33,33,2,Abbaye de Senanque,Les sentiers de memoire du maquis de Gordes,3,9,424,0019591374,25/4/2024,0019591374
34,34,3,St Saturnin les Apt,Delaisse des longuets-Les aiguiers st saturnin,"5,5",15,500,0020097798,30/4/2024,0020097798
35,35,4,Joucas,Moulins de veroncle (echelles et cordes),4,10,300,0020072164,2/5/2024,0020072164
36,36,3,Crestet,L'Arfuyen et le Saint-Amand,"3,5",14,550,0018837143,7/5/2024,0018837143
37,37,2,Brantes,Brantes Savoillan,"5,5",11,350,0018942694,9/5/2024,0018942694
38,38,3,Vaison la Romaine,OT-Foret communale,4,12,384,0020071558,14/5/2024,0020071558
39,39,3,Venasque,Combe Capellan,"2,5",12,460,0019591329,16/5/2024,0019591329
40,40,3,Crestet,Prebayon,3,13,426,0020039747,21/5/2024,0020039747
41,41,2,Abbaye de Senanque,Gordes,3,11,335,0020071390,23/5/2024,0020071390
42,42,3,Murs,Les grottes de Berigoule,5,15,400,0020043726,28/5/2024,0020043726
43,43,2,St Remy de Provence,rocher des 2 trous,6,10,280,0020043858,30/5/2024,0020043858
44,44,3,Cabrieres d'Avignon,Foret des cedres-Moulin troglodyte,4,9,250,0020043813,4/6/2024,0020043813
45,45,2,Villes sur Auzon,les coulins,"2,5",10,280,0020085774,6/6/2024,0020085774
46,46,3,St Restitut,Troglodytes 3chateaux,6,17,350,0020069505,11/6/2024,0020069505
47,47,2,Monieux,st jean de sault,"4,5",12,260,0020039037,13/6/2024,0020039037
48,48,3,Lafare,Rocher St Christophe-Dentelles Nord,"3,5",11,483,,25/6/2024,https://www.openrunner.com/r/
49,49,2,Col des abeilles,jas Forest,"3,5",12,250,0019591614,27/6/2024,0019591614
50,50,3,Veaux,Gorges du toulourenc,4,9,350,0016461716,3/9/2024,0016461716
51,51,3,Bonnieux,foret de cedres portalas,,15,300,0019591401,30/12/1899,0019591401
52,52,3,Jas des melettes,Belvedere,3,14,400,0020041786,10/9/2024,0020041786
53,53,2,Le Thor, Pkg marche -Touzon chateau,3,8,130,0020035202,12/9/2024,0020035202
54,54,3,Lioux,Combes de Lioux et Vaumale,"4,5",13,311,0018493831,17/9/2024,0018493831
55,55,2,Caromb,les collines du Paty,2,10,300,0020041885,19/9/2024,0020041885
56,56,3,Pavillon de Roland,Chapelle St Jean,3,10,488,0020102801,24/9/2024,0020102801
57,57,2,Abbaye de Senanque,col des 3 termes,3,9,270,0019617493,26/9/2024,0019617493
58,58,3,Sault  , Hippodrome-Aurel St Trinit,"4,5",14,200,0017674536,1/10/2024,0017674536
59,59,2,St Pantaleon,Les pierres seches,4,11,224,0020038730,3/10/2024,0020038730
60,60,3,Montbrun,Les 3 cols,"5,5",11,600,0020036551,8/10/2024,0020036551
61,61,2,Flassan,Pkg 4-les grangeons,"2,5",9,250,0020085813,10/10/2024,0020085813
62,62,3,Beaumes de Venise,A travers les vignobles des Dentelles lafare et retour,"3,5",10,362,0020102773,15/10/2024,0020102773
63,63,2,Vacqueyras,Bornes papales,3,9,79,0020255859,24/10/2024,0020255859
65,64,2,Beaumes de Venise,Rocher de Rocalinaud,"2,5",8,200,0019575268,17/10/2024,0019575268
66,65,3,La Roque Alric,Entre carabelle et Graveyron,3,10,370,0020147691,29/10/2024,0020147691
67,66,3,Le Barroux,Tour du Barroux,"2,5",10,313,0020035675,5/11/2024,0020035675
68,67,4,Auribeau,Mourre negre,,9,600,0019591365,16/11/2021,0019591365
69,68,3,Malaucene,le Groseau-Chapelle de Piaud,3,10,500,0020180037,12/11/2024,0020180037
70,69,2,Roussillon,terre d'ocre,"4,5",10,170,0020035638,14/11/2024,0020035638
71,70,3,Cavaillon,Via Ferrata,"4,5",,,------------,19/11/2024,------------
72,71,3,Le Beaucet, cimetiere-Autour du Beaucet,2,11,350,0020141588,26/11/2024,0020141588
73,72,2,Mazan,Pkg cimetiere-Les 3 chapelles,2,10,250,0016301255,28/11/2024,0016301255
74,73,3,Saumane de vaucluse,Les ferrayes ,3,13,500,0020102917,3/12/2024,0020102917
75,74,2,Methamis,Ratoneau-Les bastides,2,9,317,0019956009,5/12/2024,0019956009
76,75,3,Cabrieres d'Avignon,Pkg Tabourin-Fontaine depuis Cabrieres d'Avignon,4,12,420,0020035808,10/12/2024,0020035808
77,76,3,Gigondas,les Dentelles sarrasines,"3,5",8,400,0019591316,17/12/2024,0019591316
78,77,2,Pkg chocolaterie Castelain,rando de noel,3,10,50,,19/12/2024,https://www.openrunner.com/r/
79,78,3,Roaix,bois des abrigeaux,,13,340,0019591382,30/12/1899,0019591382
80,79,2,Methamis,Les bastides Ratonneau,"2,5",8,280,0019956009,5/1/2023,0019956009
81,80,3,St Didier,St Didier via la Roques sur pernes leBeaucet,2,"15,5",356,,10/1/2023,https://www.openrunner.com/r/
82,81,2,Mormoiron,Les Gaps,2,10,181,0020052258,12/1/2023,0020052258
83,82,3,Venasque,Chateau le tour de Venasque,2,13,300,0019591654,17/1/2023,0019591654
84,83,2,Aubignan,cimetiere-Aubignan,"2,5","13,7",130,0020085794,19/1/2023,0020085794
85,84,3,Gigondas, (pkg salle des fetes)-les Dentelles,"3,5",12,300,0019769387,24/1/2023,0019769387
86,85,2,Rasteau,entre  aigue et ouveze,,13,310,0019591388,30/12/1899,0019591388
87,86,3,Malemort du comtat,Malemort Venasque,2,11,400,0012474896,31/1/2023,0012474896
88,87,2,Villes sur Auzon,Route de la  nesque-le petit adrenier,3,9,285,0020069255,2/2/2023,0020069255
89,88,3,Gigondas,Les 3 yeux et Dentelles sarrasines,"3,5",11,402,0020071313,6/2/2024,0020071313
90,89,2,Malemort du comtat,Bories des platrieres,2,9,280,0020076376,9/2/2023,0020076376
91,90,3,Methamis,La gacholle,"2,5",10,260,0019575354,14/2/2023,0019575354
92,91,2,Beaumes de Venise, (gendarmerie) Aubignan,"2,5",9,134,0020052159,16/2/2023,0020052159
93,92,3,Murs,Moulins de veroncle,"3,5",14,420,,21/2/2023,https://www.openrunner.com/r/
94,93,2,Le Beaucet,le Beaucet la Roque sur Pernes,2,9,280,0019591648,23/2/2023,0019591648
95,94,2,Crillon le brave,Pied Blanc,2,9,260,0019591323,8/9/2022,0019591323
96,95,2,Monieux,Chapelle St Michel ,4,9,329,0019576041,20/4/2023,0019576041
97,96,3,Sablet,Vallon de prebayon,"3,5",15,510,0020071518,7/3/2023,0020071518
98,97,2,Flassan,Perrache,3,10,200,0019591364,9/3/2023,0019591364
99,98,3,Fontaine de Vaucluse,pkg de l'oule-mur de la peste,"3,5",14,560,0020085782,14/3/2023,0020085782
100,99,2,Vacqueyras,Pkg les Leques -Vacqueyras,3,"11,5",61,0020102898,16/3/2023,0020102898
101,100,3,Saumane de Vaucluse,les 3 luisants,3,13,560,0019575894,26/12/2023,0019575894
102,101,2,St Hippolyte le Graveyron,parking Mairie-St Hippolyte le Graveyron,"2,5",12,470,0020097822,13/12/2022,0020097822
103,102,3,Robion, (theatre de verdure)-rochers de baude,4,12,787,0020092584,28/3/2023,0020092584
104,103,2,Venasque, Route de Murs Combe Capellan,"2,5",11,366,0020052196,30/3/2023,0020052196
105,104,2,Le Barroux,direction La Roque-Alric D90A-le Graveyron,"2,5",15,200,,7/11/2024,https://www.openrunner.com/r/
106,105,2,Le Barroux,Le Barroux-La Roque Alric,"2,5",12,320,0019591242,18/12/2018,0019591242
107,106,3,Malaucene,parking de l'eglise-Oppidum,3,16,450,0020085816,11/4/2023,0020085816
108,107,2,Fontaine de Vaucluse,Galas-le bondelon le chateau,3,10,320,0020085865,13/4/2023,0020085865
